cpu_usage_pct,ram_usage_gb,network_throughput_mbps,temperature_celsius,server_status
64.71,19.27,660.26,58.52,1
56.68,4.0,489.55,82.43,0
21.62,7.74,727.52,57.89,0
51.22,4.0,320.59,84.8,0
30.53,11.62,418.65,59.32,0
57.14,4.0,455.07,88.7,0
42.56,13.81,405.9,60.76,1
19.42,24.07,560.75,37.83,0
54.39,11.15,536.28,66.84,1
66.29,23.68,463.84,55.51,1
58.65,4.0,691.75,88.25,1
54.24,4.0,546.87,80.77,0
31.3,9.92,579.62,60.03,0
18.72,10.41,570.45,55.17,0
66.17,4.0,750.53,81.58,1
23.63,14.04,167.18,56.59,0
74.42,10.72,674.24,72.76,1
34.28,8.93,181.45,66.7,0
46.35,4.0,212.88,83.23,0
64.31,26.81,684.87,48.34,1
56.58,12.41,639.62,64.83,1
73.97,22.0,375.97,61.29,1
34.25,13.67,540.58,56.61,0
46.23,4.0,591.09,78.61,1
28.28,4.38,50.0,73.26,0
68.59,34.51,875.24,37.75,1
27.29,10.78,540.87,57.96,0
69.32,11.4,666.14,70.22,1
58.84,23.67,845.84,48.76,1
65.14,27.99,697.93,46.96,1
63.69,6.56,612.47,75.14,1
53.04,7.65,585.2,70.37,0
46.04,5.1,760.46,69.35,0
37.0,8.84,356.66,65.83,0
55.2,13.88,461.68,64.4,1
65.88,20.36,408.5,60.27,1
30.11,12.38,202.0,60.58,0
42.34,6.49,725.34,66.65,0
65.03,14.07,533.89,66.74,1
29.28,13.83,339.06,56.9,0
41.48,5.84,731.7,67.13,0
65.5,15.13,143.58,69.82,1
53.3,14.46,448.08,63.16,1
49.33,5.2,740.31,70.57,0
26.52,16.65,324.77,52.46,0
73.27,26.98,342.73,54.96,1
38.06,6.74,653.62,65.65,0
50.96,4.83,766.46,71.32,0
56.07,4.0,796.16,95.0,1
66.35,28.07,480.46,49.65,1
56.65,20.07,903.06,52.04,1
44.67,5.86,718.38,68.35,0
61.06,21.38,626.11,54.9,1
79.73,21.94,543.2,61.51,1
57.19,4.0,882.66,76.25,0
66.27,24.18,538.24,54.03,1
70.72,7.69,638.27,75.81,1
31.71,12.8,490.43,57.42,0
74.78,23.26,352.95,60.18,1
54.69,9.38,506.82,69.56,1
32.81,10.08,507.49,61.13,0
55.46,9.2,453.21,70.65,0
29.02,8.27,50.0,67.95,0
36.03,9.44,303.9,65.3,0
51.17,4.0,322.44,88.64,0
53.95,4.0,542.16,76.33,0
63.17,13.71,549.26,66.4,1
25.86,12.01,219.34,59.4,0
37.66,10.47,478.51,62.6,0
65.23,11.87,561.85,69.36,1
62.92,12.11,525.72,68.64,1
29.56,4.0,1000.0,63.8,0
53.21,4.0,257.48,90.0,0
35.68,9.34,566.97,62.41,0
46.91,4.22,487.07,73.78,0
65.91,12.71,582.51,68.27,1
56.88,12.9,632.38,64.37,1
39.15,10.93,470.46,62.61,0
12.77,16.92,50.0,51.62,0
14.12,21.3,241.72,43.09,0
25.15,18.81,379.08,48.6,0
71.47,4.0,849.9,87.66,1
45.14,4.74,494.74,72.42,0
74.35,29.3,223.95,53.63,1
55.98,4.03,746.17,74.3,0
34.57,8.22,601.38,63.11,0
55.91,4.0,875.97,74.96,0
36.69,8.79,633.48,62.75,0
70.28,26.26,473.08,53.43,1
51.62,4.64,510.02,74.6,1
58.4,11.32,524.89,68.13,1
67.27,24.94,792.6,50.6,1
32.84,12.84,438.55,58.32,0
16.65,15.07,296.03,51.44,0
44.18,8.67,555.61,66.32,0
14.07,20.74,206.27,44.19,0
29.94,10.39,232.95,62.76,0
21.4,9.25,617.48,57.08,0
68.99,28.73,738.43,46.87,1
46.33,4.2,426.71,74.27,0
76.56,14.67,629.33,68.88,1
43.83,4.0,301.12,77.2,0
24.97,12.97,202.06,58.05,0
37.41,8.38,364.24,66.49,0
86.24,16.46,683.38,69.29,1
40.25,5.39,283.22,72.21,0
53.62,4.0,620.47,78.12,1
47.65,4.0,547.03,85.29,1
67.01,21.42,458.64,58.73,1
31.57,6.54,708.55,63.08,0
76.19,20.74,605.1,61.16,1
43.59,4.0,877.41,68.68,0
47.83,4.0,938.5,71.75,0
26.99,16.32,128.79,55.21,0
